@RELATION fake_profile
@ATTRIBUTE statuses_count  NUMERIC
@ATTRIBUTE followers_count  NUMERIC
@ATTRIBUTE friends_count  NUMERIC
@ATTRIBUTE favourites_count  NUMERIC
@ATTRIBUTE fake_profile {True,False}
@DATA
57,20,636,0, True
59,24,582,0, True
62,20,537,0, True
59,15,563,0, True
52,23,548,0, True
44,7,442,0, True
52,18,519,0, True
62,17,610,0, True
55,19,527,0, True
69,20,600,0, True
71,16,672,0, True
48,23,543,0, True
48,22,500,0, True
53,18,524,0, True
57,19,593,0, True
47,18,515,0, True
67,30,579,0, True
67,24,736,0, True
47,27,534,0, True
39,21,523,0, True
60,21,555,0, True
52,21,527,0, True
51,24,544,0, True
53,17,452,0, True
65,17,607,0, True
43,21,535,0, True
48,22,568,0, True
43,17,523,0, True
61,20,537,0, True
53,20,518,0, True
46,16,529,0, True
42,21,534,0, True
45,25,513,0, True
52,15,543,0, True
63,20,572,0, True
51,25,508,0, True
52,28,540,0, True
56,25,527,0, True
53,19,566,0, True
64,19,556,0, True
40,22,527,0, True
58,20,524,0, True
48,27,536,0, True
57,18,513,0, True
45,23,529,0, True
56,11,554,0, True
39,15,546,0, True
53,22,544,0, True
63,22,575,0, True
52,19,495,0, True
40,20,548,0, True
39,22,595,0, True
57,22,623,0, True
60,15,540,0, True
47,23,520,0, True
61,37,726,0, True
57,23,528,0, True
56,24,507,0, True
42,15,512,0, True
51,22,547,0, True
47,18,503,0, True
40,22,468,0, True
61,17,520,3, True
64,23,603,0, True
58,24,706,0, True
54,23,512,0, True
41,18,538,0, True
54,13,504,0, True
46,17,506,0, True
49,16,559,0, True
52,31,583,0, True
44,21,557,0, True
58,26,648,0, True
62,23,549,0, True
45,20,515,0, True
51,20,518,0, True
58,21,551,0, True
44,26,501,0, True
55,15,498,0, True
40,20,511,0, True
44,25,593,0, True
49,28,506,0, True
51,18,535,0, True
67,27,616,0, True
44,19,547,0, True
42,26,532,0, True
52,15,565,0, True
55,25,526,0, True
43,33,651,0, True
52,18,508,0, True
62,16,561,0, True
37,16,445,0, True
50,13,547,0, True
46,35,519,0, True
44,19,404,0, True
56,24,483,0, True
48,19,427,0, True
39,14,432,0, True
44,31,628,0, True
69,18,627,0, True
60,28,625,0, True
49,22,581,0, True
65,19,617,0, True
67,15,593,0, True
0,0,0,0, True
59,28,615,0, True
64,22,624,0, True
54,27,773,0, True
65,26,619,0, True
63,21,782,0, True
65,17,650,0, True
65,23,838,0, True
52,16,573,0, True
71,23,666,0, True
70,23,603,0, True
60,23,738,0, True
62,20,730,0, True
58,20,593,0, True
64,15,601,0, True
56,18,614,0, True
114,26,1098,0, True
83,21,713,0, True
83,19,699,0, True
62,29,651,0, True
69,15,668,0, True
72,18,658,0, True
69,22,617,0, True
153,31,1152,0, True
51,22,672,0, True
43,15,573,0, True
58,26,639,0, True
64,23,621,0, True
51,23,584,0, True
115,27,962,0, True
64,28,708,0, True
94,32,1015,0, True
68,19,641,0, True
89,20,850,0, True
55,26,626,0, True
70,21,843,0, True
55,13,740,0, True
73,18,619,0, True
50,17,587,0, True
75,28,687,0, True
58,22,585,0, True
56,18,656,0, True
70,28,771,0, True
67,18,636,0, True
73,27,718,0, True
74,19,736,0, True
60,24,549,0, True
63,20,715,1, True
64,26,585,0, True
52,16,699,0, True
64,16,602,0, True
47,25,575,0, True
69,13,526,0, True
65,19,808,0, True
76,15,651,0, True
50,17,519,0, True
54,22,595,0, True
68,20,664,0, True
51,14,530,0, True
50,22,530,0, True
53,24,646,0, True
56,23,565,0, True
65,30,734,0, True
52,24,579,0, True
80,33,852,0, True
53,27,625,0, True
60,25,652,0, True
60,20,564,0, True
48,28,771,0, True
68,15,521,0, True
78,20,647,0, True
58,23,549,0, True
49,24,538,0, True
62,22,517,0, True
55,19,551,0, True
59,19,594,0, True
60,21,552,0, True
44,29,481,0, True
54,25,524,0, True
56,21,507,0, True
72,20,702,0, True
64,27,557,0, True
57,21,577,0, True
51,18,548,0, True
59,17,566,0, True
61,22,560,0, True
41,26,588,0, True
57,22,518,0, True
36,20,565,0, True
40,23,582,0, True
36,17,547,0, True
77,29,753,0, True
64,17,624,0, True
41,19,665,0, True
48,29,517,0, True
49,19,507,0, True
41,16,531,0, True
66,23,583,0, True
58,19,499,0, True
51,25,552,0, True
56,24,584,0, True
62,14,562,0, True
53,15,578,0, True
50,25,489,0, True
48,18,500,0, True
39,16,451,0, True
63,28,634,0, True
58,20,607,1, True
52,16,493,0, True
62,22,505,0, True
58,15,475,0, True
61,25,619,0, True
46,20,534,0, True
48,22,541,0, True
55,20,566,0, True
48,21,549,0, True
50,15,508,0, True
46,20,502,0, True
40,18,525,0, True
47,32,522,0, True
57,16,519,0, True
48,10,408,0, True
75,34,749,0, True
60,15,559,0, True
55,23,548,0, True
39,25,511,0, True
59,23,543,0, True
43,23,492,0, True
58,23,585,0, True
44,26,595,0, True
49,22,478,0, True
40,17,446,0, True
42,19,473,0, True
57,24,490,0, True
41,24,462,0, True
49,18,501,0, True
45,21,491,0, True
59,26,630,0, True
42,19,434,0, True
26,20,461,0, True
44,16,485,0, True
59,25,644,0, True
41,16,451,0, True
40,24,404,0, True
42,20,474,0, True
31,22,393,0, True
53,20,460,0, True
40,20,498,0, True
47,13,483,0, True
45,16,438,0, True
51,19,511,0, True
49,21,527,0, True
54,22,517,0, True
44,16,355,0, True
35,20,412,0, True
54,18,456,0, True
41,9,440,0, True
38,26,464,0, True
39,24,390,0, True
25,12,394,0, True
35,18,421,0, True
48,13,403,0, True
38,24,404,0, True
39,19,377,0, True
46,17,397,0, True
45,21,399,0, True
33,21,414,0, True
41,23,431,0, True
39,15,395,0, True
52,26,398,0, True
35,13,379,0, True
45,21,484,0, True
39,14,529,0, True
28,21,464,0, True
34,10,415,0, True
47,19,384,0, True
43,27,400,0, True
42,19,401,0, True
34,13,429,0, True
32,13,374,0, True
37,22,363,0, True
44,25,400,0, True
38,10,405,0, True
31,20,397,0, True
54,18,400,0, True
29,18,373,0, True
28,18,390,0, True
35,11,394,0, True
39,18,382,0, True
42,21,418,0, True
29,12,365,0, True
36,19,394,0, True
41,24,431,0, True
46,15,399,0, True
30,15,381,0, True
40,23,389,0, True
37,15,384,0, True
42,10,388,0, True
37,19,411,0, True
27,20,359,0, True
36,18,353,0, True
41,19,354,0, True
44,16,402,0, True
38,15,344,0, True
33,23,408,0, True
38,20,365,0, True
31,25,360,0, True
30,20,358,0, True
49,12,366,0, True
38,18,364,0, True
149,43,936,0, True
47,21,365,0, True
34,20,406,0, True
40,18,386,0, True
43,14,404,0, True
37,13,404,0, True
33,18,390,0, True
44,14,398,0, True
33,15,340,1, True
40,18,452,0, True
27,21,365,0, True
44,16,385,0, True
36,18,373,0, True
38,25,379,0, True
39,28,407,0, True
30,20,407,0, True
30,16,385,0, True
51,16,375,0, True
38,13,391,0, True
35,17,360,0, True
111,32,954,0, True
51,23,351,0, True
40,23,407,0, True
38,18,381,0, True
28,12,402,0, True
50,12,393,0, True
39,14,379,0, True
37,21,337,0, True
37,21,424,0, True
36,19,384,0, True
37,21,360,0, True
34,16,380,0, True
36,16,346,0, True
46,15,422,0, True
33,22,432,0, True
14,18,315,0, True
38,24,395,0, True
40,18,358,0, True
31,16,329,0, True
61,29,476,0, True
42,19,368,0, True
33,25,342,0, True
25,20,388,0, True
37,24,373,0, True
23,10,339,0, True
30,17,355,0, True
35,21,349,0, True
40,18,365,0, True
47,13,366,0, True
42,20,349,0, True
34,20,370,0, True
29,15,336,0, True
36,18,338,0, True
39,23,373,0, True
25,17,377,0, True
35,17,333,0, True
42,20,337,0, True
35,19,326,0, True
42,20,407,0, True
39,20,366,0, True
48,23,389,0, True
31,14,351,0, True
50,14,365,0, True
37,19,337,0, True
46,8,398,0, True
42,18,381,0, True
30,14,300,0, True
37,20,383,0, True
42,11,362,0, True
33,14,365,0, True
27,18,371,0, True
34,16,349,0, True
26,16,369,0, True
33,16,330,0, True
41,15,369,0, True
23,18,357,0, True
41,10,361,0, True
30,24,406,0, True
50,18,333,0, True
30,12,322,0, True
37,16,345,0, True
39,18,334,0, True
41,11,370,0, True
32,18,390,0, True
39,18,394,0, True
27,23,349,0, True
54,23,459,0, True
39,19,336,0, True
34,25,361,0, True
33,20,321,0, True
32,17,310,0, True
62,13,515,0, True
39,17,341,0, True
47,17,345,0, True
32,23,353,0, True
28,18,350,0, True
31,22,285,0, True
38,16,384,0, True
39,11,317,0, True
41,25,367,0, True
71,25,503,0, True
28,15,394,0, True
63,26,532,0, True
36,22,346,0, True
35,22,340,0, True
50,22,453,0, True
60,24,521,0, True
56,27,490,0, True
39,23,359,0, True
29,19,340,0, True
35,22,372,0, True
40,13,385,0, True
36,15,320,0, True
17,15,312,0, True
37,13,310,0, True
29,18,318,0, True
23,22,357,0, True
48,20,330,0, True
39,26,360,0, True
42,19,330,0, True
25,15,364,0, True
34,12,346,0, True
38,21,338,0, True
61,28,530,0, True
32,17,315,0, True
39,18,305,0, True
56,20,539,0, True
60,22,528,0, True
46,14,336,0, True
28,9,338,0, True
39,14,370,0, True
28,14,321,0, True
36,22,314,0, True
29,13,312,0, True
50,25,443,0, True
28,16,327,0, True
60,23,501,0, True
33,12,320,0, True
51,18,403,0, True
50,15,372,0, True
62,25,519,0, True
50,23,539,0, True
32,23,344,0, True
33,20,348,0, True
38,14,315,0, True
57,27,520,0, True
29,8,344,0, True
28,19,353,0, True
24,12,327,0, True
30,17,318,0, True
42,12,356,0, True
45,20,370,0, True
31,23,350,0, True
37,19,388,0, True
41,18,333,0, True
41,16,343,0, True
37,21,336,0, True
38,16,429,0, True
27,12,312,0, True
46,11,408,0, True
34,16,319,0, True
28,13,346,0, True
34,25,328,0, True
23,17,295,0, True
30,19,304,0, True
36,12,334,0, True
31,24,379,0, True
42,14,347,0, True
27,10,336,0, True
35,13,321,0, True
31,21,335,0, True
20,15,353,0, True
37,16,373,0, True
31,13,329,0, True
21,17,362,0, True
34,15,337,0, True
26,17,344,0, True
41,20,332,0, True
35,16,334,0, True
39,11,319,0, True
29,8,342,0, True
27,16,310,0, True
26,17,300,0, True
33,13,334,0, True
39,18,312,0, True
42,24,349,0, True
27,15,348,1, True
30,25,299,0, True
42,14,348,0, True
35,20,309,0, True
52,17,418,0, True
26,17,333,0, True
35,20,350,0, True
30,17,351,0, True
44,10,394,0, True
39,15,332,0, True
41,16,311,0, True
36,14,332,0, True
35,14,273,0, True
34,16,336,1, True
30,15,343,0, True
29,22,293,0, True
31,17,343,0, True
33,12,302,0, True
35,15,326,0, True
36,18,328,0, True
50,11,355,0, True
21,11,329,0, True
33,20,322,0, True
25,12,311,0, True
33,10,276,0, True
36,12,350,0, True
32,16,316,0, True
34,18,333,0, True
46,16,374,0, True
31,19,370,0, True
24,7,321,0, True
32,12,321,0, True
34,13,330,0, True
48,20,412,0, True
39,23,371,0, True
33,29,313,0, True
42,22,312,0, True
36,17,335,0, True
31,19,337,0, True
35,15,308,0, True
20,11,354,0, True
41,14,330,0, True
35,14,327,0, True
26,19,323,0, True
26,17,325,0, True
42,9,333,0, True
26,23,341,0, True
30,12,333,0, True
59,22,540,0, True
47,15,520,0, True
53,17,536,0, True
32,17,325,0, True
34,23,354,0, True
30,17,314,0, True
32,18,302,0, True
35,10,293,0, True
61,30,535,0, True
29,20,333,0, True
33,18,326,0, True
33,13,314,0, True
29,27,361,0, True
33,12,327,0, True
36,15,322,0, True
43,14,317,0, True
31,18,347,0, True
16,15,322,0, True
26,14,314,0, True
30,13,307,0, True
32,17,319,0, True
48,14,361,0, True
26,17,313,0, True
40,15,338,0, True
26,14,323,0, True
30,10,292,0, True
28,13,347,0, True
27,20,299,0, True
19,21,276,0, True
28,16,299,0, True
23,15,324,0, True
32,17,336,0, True
23,19,310,0, True
31,12,305,0, True
24,17,305,0, True
25,14,348,0, True
30,17,295,0, True
34,22,286,0, True
38,23,323,0, True
37,25,323,0, True
38,17,288,2, True
54,23,517,0, True
29,18,263,0, True
44,16,326,0, True
22,18,305,0, True
26,18,303,0, True
29,18,324,0, True
36,21,313,0, True
35,15,294,0, True
28,25,318,0, True
39,16,336,0, True
44,17,323,0, True
24,32,265,0, True
27,18,301,0, True
35,18,314,0, True
31,17,322,0, True
26,14,305,0, True
30,15,321,0, True
29,20,309,0, True
35,16,306,0, True
33,9,298,0, True
54,24,657,0, True
23,20,308,0, True
20,18,317,0, True
28,13,332,0, True
33,16,323,0, True
28,11,306,0, True
58,23,461,0, True
26,14,326,0, True
32,32,326,0, True
32,15,328,0, True
21,16,288,0, True
57,22,468,0, True
33,17,326,0, True
28,24,320,0, True
35,15,321,0, True
32,23,352,0, True
32,22,351,0, True
54,17,536,0, True
16,10,306,0, True
50,19,543,0, True
29,16,292,0, True
41,25,349,0, True
31,16,338,0, True
59,24,626,0, True
36,18,330,0, True
31,19,315,0, True
28,14,316,0, True
60,20,527,0, True
36,18,286,0, True
26,19,311,0, True
61,19,494,0, True
18,23,272,0, True
30,15,280,0, True
22,14,260,0, True
26,13,273,0, True
29,18,309,0, True
55,23,624,0, True
58,48,481,0, True
54,31,536,1, True
28,16,325,0, True
23,15,323,0, True
32,21,326,0, True
35,18,310,0, True
20,9,334,0, True
54,26,500,0, True
36,0,2,0, True
52,25,533,0, True
30,22,270,0, True
34,23,342,0, True
20,11,294,0, True
34,26,302,0, True
34,21,316,0, True
50,18,685,0, True
26,11,302,0, True
35,18,365,0, True
29,23,306,0, True
16,15,268,0, True
63,28,535,0, True
26,15,284,0, True
34,20,280,0, True
37,12,317,0, True
41,20,332,0, True
27,24,294,0, True
34,14,319,0, True
23,10,297,0, True
27,16,318,0, True
21,18,267,0, True
35,17,313,0, True
29,18,325,0, True
30,9,264,0, True
33,24,336,0, True
25,14,302,0, True
31,13,327,0, True
37,23,310,0, True
32,17,308,0, True
33,11,345,0, True
33,18,266,0, True
34,16,275,0, True
25,20,313,0, True
38,13,320,0, True
22,17,262,0, True
20,17,304,0, True
23,12,269,0, True
47,16,328,0, True
19,16,289,0, True
67,22,668,5, True
25,18,308,0, True
37,20,326,0, True
31,16,315,0, True
32,14,293,0, True
32,20,287,0, True
54,21,514,0, True
26,13,282,0, True
25,15,274,0, True
31,14,307,0, True
28,18,297,0, True
28,25,269,0, True
21,17,303,0, True
20,15,319,0, True
24,12,272,0, True
23,18,284,0, True
20,18,277,0, True
26,15,308,0, True
30,20,313,0, True
31,19,267,0, True
23,19,319,0, True
33,13,341,0, True
29,19,228,0, True
32,21,289,0, True
17,21,284,0, True
31,15,317,0, True
23,16,299,0, True
30,16,293,0, True
29,19,298,0, True
27,14,289,0, True
23,23,288,0, True
26,19,280,0, True
34,10,281,0, True
22,12,314,0, True
35,21,255,0, True
23,17,295,0, True
33,10,266,0, True
40,16,305,0, True
35,12,307,0, True
23,14,263,0, True
27,14,285,0, True
26,16,302,0, True
32,17,267,0, True
25,18,267,0, True
28,22,279,0, True
29,15,270,0, True
24,18,267,0, True
24,15,301,0, True
32,15,276,0, True
31,8,259,0, True
29,6,245,0, True
28,20,288,0, True
39,16,277,0, True
26,13,262,0, True
24,12,307,0, True
20,16,303,0, True
26,12,278,0, True
31,18,270,0, True
25,24,270,0, True
26,12,288,0, True
29,16,262,0, True
29,7,241,0, True
29,23,307,0, True
20,12,272,0, True
27,19,272,0, True
30,16,273,0, True
24,17,288,0, True
24,22,260,0, True
25,11,280,0, True
27,16,299,0, True
22,21,279,0, True
23,17,287,0, True
24,17,316,0, True
34,15,274,0, True
29,17,283,0, True
31,20,295,0, True
27,18,320,2, True
16,13,294,0, True
17,23,263,0, True
31,15,316,0, True
28,16,288,0, True
31,12,290,0, True
35,16,302,0, True
29,19,313,0, True
22,22,274,0, True
27,18,272,0, True
17,20,276,0, True
36,18,301,0, True
23,16,314,0, True
29,22,278,0, True
25,15,289,0, True
28,16,331,0, True
29,11,293,0, True
36,14,303,1, True
32,12,308,0, True
31,13,287,0, True
44,12,298,0, True
27,11,307,0, True
24,10,306,0, True
24,13,283,0, True
63,16,637,0, True
20,11,282,0, True
55,17,569,0, True
32,14,285,0, True
31,20,288,0, True
67,27,681,0, True
30,18,264,0, True
20,11,289,0, True
60,21,635,0, True
30,16,308,0, True
24,22,280,0, True
61,21,649,0, True
27,12,283,0, True
24,18,271,0, True
56,30,614,0, True
20,21,277,0, True
32,9,287,0, True
27,15,294,0, True
57,25,577,0, True
27,20,289,0, True
38,20,332,0, True
25,22,266,0, True
22,18,244,0, True
26,21,259,0, True
37,18,549,0, True
28,15,270,0, True
29,13,273,0, True
32,8,291,0, True
28,12,295,0, True
26,16,280,0, True
33,21,291,0, True
30,25,262,0, True
20,13,256,0, True
25,18,319,0, True
35,18,286,0, True
29,17,281,0, True
17,20,282,0, True
25,25,250,0, True
26,17,278,0, True
38,14,283,0, True
30,17,276,0, True
28,14,249,0, True
20,15,296,0, True
24,17,273,0, True
28,13,282,0, True
32,9,308,0, True
28,14,281,0, True
29,18,280,0, True
26,10,237,0, True
28,16,266,0, True
27,16,255,0, True
23,21,253,0, True
25,13,326,0, True
29,19,303,0, True
26,21,269,0, True
25,19,302,0, True
24,12,294,0, True
38,11,262,0, True
20,19,257,0, True
35,21,270,0, True
30,18,247,0, True
22,22,258,0, True
30,11,258,0, True
28,13,276,0, True
18,18,276,0, True
25,21,274,0, True
26,16,278,0, True
27,17,311,0, True
24,26,276,0, True
32,16,264,0, True
25,17,270,0, True
28,14,249,0, True
25,15,267,0, True
25,14,269,0, True
29,14,284,0, True
26,9,299,0, True
27,25,306,0, True
26,15,274,0, True
22,13,251,0, True
35,13,275,0, True
19,13,263,0, True
22,13,260,0, True
28,13,247,0, True
33,22,319,0, True
37,21,294,0, True
29,13,306,0, True
38,12,236,0, True
24,20,250,0, True
23,10,263,0, True
29,14,280,0, True
37,20,290,0, True
31,15,261,0, True
24,12,245,0, True
24,9,264,0, True
32,14,296,0, True
25,20,263,0, True
27,14,285,0, True
20,19,243,0, True
20,21,267,0, True
20,14,254,0, True
36,13,290,0, True
28,15,285,0, True
24,17,233,0, True
29,13,280,0, True
24,15,235,0, True
18,12,255,0, True
37,42,404,0, True
33,18,264,0, True
20,17,244,0, True
29,12,239,0, True
29,15,297,0, True
20,12,254,0, True
26,23,279,0, True
31,18,250,0, True
23,18,233,0, True
40,23,272,0, True
29,11,245,0, True
27,22,275,0, True
29,14,248,0, True
37,16,297,0, True
23,21,254,0, True
26,11,230,0, True
30,15,264,0, True
38,22,302,0, True
28,20,239,0, True
26,21,281,0, True
27,13,275,0, True
32,16,251,0, True
30,13,274,0, True
31,20,259,0, True
29,18,291,0, True
56,25,522,0, True
36,15,252,0, True
13,21,273,0, True
22,11,253,0, True
26,12,307,0, True
30,22,303,0, True
34,20,280,0, True
28,17,281,0, True
30,14,265,0, True
17,20,259,0, True
30,15,271,0, True
29,11,275,0, True
53,13,299,0, True
35,16,294,0, True
36,16,290,0, True
35,12,301,0, True
26,13,238,0, True
32,12,286,0, True
29,17,252,0, True
34,12,260,0, True
40,16,284,0, True
28,25,272,0, True
26,17,278,0, True
27,7,296,0, True
37,20,300,0, True
32,23,284,0, True
61,42,435,0, True
32,17,300,0, True
19,13,275,0, True
24,10,259,0, True
37,12,290,0, True
22,12,252,0, True
14,10,237,0, True
34,13,237,0, True
22,15,216,0, True
34,14,251,0, True
21,14,251,0, True
22,11,241,0, True
29,7,221,0, True
35,12,242,0, True
30,11,272,0, True
33,9,237,0, True
22,7,263,0, True
31,12,201,0, True
26,17,215,0, True
31,8,233,0, True
28,19,224,0, True
32,15,256,0, True
28,8,240,0, True
20,11,207,0, True
30,12,224,0, True
14,5,190,0, True
28,7,205,0, True
19,14,265,0, True
29,9,197,0, True
24,16,268,0, True
22,11,244,0, True
24,14,204,0, True
31,11,242,0, True
26,18,219,0, True
26,11,218,0, True
37,16,227,0, True
26,8,232,0, True
24,16,214,0, True
19,12,228,0, True
25,8,203,0, True
35,13,221,0, True
18,7,201,0, True
25,8,210,0, True
17,6,204,0, True
27,14,202,0, True
34,11,228,0, True
23,12,210,0, True
19,16,216,0, True
25,8,222,0, True
28,9,224,0, True
23,12,214,0, True
27,8,219,0, True
30,11,228,0, True
20,14,201,0, True
21,15,236,0, True
32,11,253,0, True
21,12,211,0, True
27,13,204,0, True
21,7,210,0, True
26,11,203,0, True
2,0,37,0, True
1,0,34,0, True
4,1,23,0, True
3,0,35,0, True
3,1,22,0, True
3,2,44,0, True
4,1,32,0, True
3,1,33,0, True
2,1,30,0, True
3,2,29,0, True
4,0,37,0, True
3,2,42,0, True
3,2,24,0, True
2,2,26,0, True
3,1,22,0, True
2,0,36,0, True
2,0,40,0, True
3,3,46,0, True
0,0,32,0, True
1,1,33,0, True
3,1,27,0, True
1,1,32,0, True
2,0,21,0, True
4,2,43,0, True
2,1,24,0, True
3,1,42,0, True
2,0,39,0, True
4,4,36,0, True
3,0,37,0, True
3,1,39,0, True
4,3,31,0, True
2,2,38,0, True
2,0,31,0, True
5,0,31,0, True
3,3,32,0, True
3,1,42,0, True
4,0,17,0, True
4,0,41,0, True
2,2,24,0, True
3,1,44,0, True
1,2,21,0, True
3,2,48,0, True
3,0,48,0, True
2,0,38,0, True
5,1,36,0, True
3,0,32,0, True
1,0,11,0, True
1,1,32,0, True
3,3,54,0, True
3,1,22,0, True
2,0,31,0, True
5,0,41,0, True
3,0,29,0, True
4,0,40,0, True
2,0,31,0, True
4,0,36,0, True
2,2,29,0, True
1,1,32,0, True
3,1,34,0, True
4,1,45,0, True
3,0,21,0, True
2,1,36,0, True
1,4,25,0, True
3,0,39,0, True
1,1,24,0, True
1,2,22,0, True
3,0,42,0, True
2,0,28,0, True
4,0,33,0, True
2,1,38,0, True
2,3,36,0, True
0,1,21,0, True
2,0,29,0, True
2,0,33,0, True
2,1,36,0, True
2,6,45,0, True
3,3,33,0, True
3,1,38,0, True
4,1,24,0, True
3,0,30,0, True
1,1,25,0, True
1,1,20,0, True
3,1,23,0, True
0,1,24,0, True
4,1,24,0, True
3,0,34,0, True
1,1,23,0, True
1,2,26,0, True
4,0,25,0, True
2,3,24,0, True
6,2,26,0, True
3,1,34,0, True
3,1,22,0, True
2,0,25,0, True
0,1,34,0, True
3,0,24,0, True
4,0,28,0, True
1,1,21,0, True
2,1,22,0, True
1,0,25,0, True
3,0,24,0, True
2,1,26,0, True
3,1,28,0, True
2,1,18,0, True
3,0,31,0, True
1,1,9,0, True
4,0,28,0, True
2,1,17,0, True
4,1,27,0, True
3,0,19,0, True
3,1,20,0, True
1,1,19,0, True
6,0,19,0, True
1,0,16,0, True
0,0,17,0, True
2,1,21,0, True
0,0,20,0, True
2,1,8,0, True
3,0,15,0, True
1,0,17,0, True
3,0,16,0, True
1,2,19,0, True
2,2,15,0, True
1,1,17,0, True
1,2,20,0, True
2,0,15,0, True
2,1,20,0, True
2,1,14,0, True
1,0,18,0, True
1,2,15,0, True
2,2,15,0, True
2,1,18,0, True
3,1,22,0, True
2,0,18,0, True
2,0,22,0, True
2,0,24,0, True
1,1,12,0, True
1,1,21,0, True
2,1,19,0, True
1,0,17,0, True
0,1,17,0, True
2,0,15,0, True
2,0,16,0, True
0,0,17,0, True
20370,5470,2385,145, False
3131,506,381,9, False
4024,264,87,323, False
40586,640,622,1118, False
2016,62,64,13, False
3603,138,179,53, False
1183,128,168,2, False
6194,1062,1770,597, False
10962,23368,958,590, False
10947,760,712,693, False
2754,477,218,224, False
26713,1390,1177,914, False
4111,314,338,47, False
1441,97,203,25, False
1698,289,1930,45, False
402,93,78,36, False
16935,2242,918,44, False
9437,689,891,199, False
3742,505,571,100, False
770,81,181,89, False
1430,128,371,204, False
6996,899,305,346, False
3284,375,1039,1, False
160,46,146,22, False
292,57,110,5, False
5876,616,647,1061, False
7534,1132,1096,6, False
1294,254,276,89, False
6340,298,419,5, False
5472,6352,3873,65, False
22540,2065,1125,0, False
